dims,k,ari,gap_silhouette,gap_davies_bouldin,gap_calinski_harabasz,gap_inertia,cl_inertia,cl_silhouette,cl_davies_bouldin,cl_calinski_harabasz,qkm_inertia,qkm_silhouette,qkm_davies_bouldin,qkm_calinski_harabasz
2,2,-0.0038295208480855474,-0.4122898706550263,-11.195788791601446,-185.60991581418727,7960.277769133229,8115.187896992475,0.5192246134655826,0.8149910380441211,186.67048010021526,154.91012785924514,0.10693474281055626,12.010779829645568,1.0605642860279818
2,3,0.11585146207256611,-0.35341939058561456,-14.565586487613412,-148.3463503066216,7585.357938545436,7737.408835930754,0.45318525500883156,0.8407591307446451,150.3216348654583,152.05089738531848,0.09976586442321699,15.406345618358058,1.9752845588367178
2,4,0.12476721487056366,-0.1888211012932017,-13.06143808639013,-64.85120917639911,7302.2788556889345,7453.613383806706,0.24073630608318702,1.8874574099830976,66.40549127878799,151.33452811777204,0.05191520478998532,14.948895496373227,1.5542821023888793
2,5,0.09819868541475997,-0.04591175981068184,-6.938117204626398,-64.35625405765224,7053.750868833347,7202.2413347496595,0.12325720532206834,1.6837073928295005,66.25950858504989,148.49046591631185,0.0773454455113865,8.621824597455898,1.9032545273976504
2,6,0.07361836221502363,-0.023001287260504696,-10.020826399255219,-41.131481300030494,6930.392572394217,7078.641491702717,0.020424501401863564,2.4672760973486754,42.695345790403834,148.24891930849995,-0.0025767858586411324,12.488102496603894,1.5638644903733376
2,7,0.05547922351667471,0.108300792566114,-6.843625681480328,-45.0293651873475,6696.12924423675,6841.240217780438,-0.08610651995745915,3.9609353457838137,46.88889832251208,145.1109735436877,0.022194272608654843,10.80456102726414,1.8595331351645783
2,8,0.04034789057832845,0.1332654502510992,-12.354843321783665,-26.480451325512192,6583.291611348735,6730.229809478335,-0.17985070741246814,2.5254016944521975,27.781033837988623,146.93819812959904,-0.046585257161368944,14.880245016235863,1.3005825124764319
2,9,0.05841703456566969,0.1063461619521523,-12.017200716270384,-28.3653082199244,6424.13109896495,6566.773053754853,-0.18560471877260212,2.356154453197509,30.083110818983187,142.6419547899032,-0.07925855682044983,14.373355169467892,1.7178025990587866
2,10,0.04855752963320636,0.07581026587437645,-23.873774234502804,-25.529695000233,6246.973209012507,6390.099645821412,-0.21530375614362945,3.063315005136557,26.986197708400244,143.12643680890466,-0.139493490269253,26.937089239639363,1.456502708167241
5,2,0.021502966386426993,-0.22036807547751153,-5.930855253195512,-53.76637195068459,7961.9829912511395,8115.187896992475,0.24835088417590556,1.6185120518237397,56.43729378131175,153.20490574133493,0.027982808698394025,7.549367305019252,2.6709218306271683
5,3,0.0778498984044807,-0.1951578576299889,-5.420121413109298,-41.277138037177515,7587.804544767227,7737.408835930754,0.2161864992358548,1.664695926703776,44.47703029383125,149.604291163528,0.021028641605865903,7.084817339813074,3.1998922566537362
5,4,0.15476937277924946,-0.1767558624282116,-3.5784902563775702,-35.932371307838096,7310.97145985822,7453.613383806706,0.21097021254742424,1.5722943419196174,40.628179384925765,142.64192394848544,0.03421435011921265,5.150784598297188,4.695808077087671
5,5,0.12319587357587222,-0.12806312469235748,-3.8727367114224487,-28.490763048855502,7058.939898228291,7202.2413347496595,0.1507834422943938,1.6964404446494008,31.799611218094643,143.30143652136803,0.022720317602036313,5.5691771560718495,3.30884816923914
5,6,0.16784178514517872,-0.12590726486760248,-3.185645621001038,-26.041129670830813,6938.596844729868,7078.641491702717,0.1428257088134553,1.7030377874037954,29.42948997717617,140.0446469728486,0.01691844394585281,4.888683408404834,3.3883603063453567
5,7,0.1105245882911953,-0.08801689043672228,-3.0985474185269144,-21.67759455669325,6706.561593657024,6841.240217780438,0.09677273712989999,1.9238283744481848,25.583595043581003,134.6786241234138,0.00875584669317771,5.022375792975099,3.906000486887751
5,8,0.1792106378230861,-0.02561238689749463,-2.1870846609538512,-12.63192005378931,6602.530962428414,6730.229809478335,0.03956406514561707,1.9595474050268458,17.294846392875538,127.69884704992076,0.013951678248122438,4.146632065980697,4.662926339086228
5,9,0.1664811088497761,-0.026050165289772335,-3.4666162911001095,-12.29003353981623,6440.119930703223,6566.773053754853,0.03142607518949481,1.8587738058640646,16.52770091357253,126.65312305163057,0.005375909899722479,5.325390096964174,4.237667373756301
5,10,0.11841512138251169,-0.07820888315295324,-2.925624312555431,-15.103230403576209,6263.315541847548,6390.099645821412,0.0604943573616358,2.253161246012025,18.82379700838391,126.78410397386402,-0.017714525791317437,5.178785558567456,3.720566604807701
10,2,-0.004783775875011133,-0.15032810646686942,-5.325552424998107,-31.719434146592576,7961.944405634048,8115.187896992475,0.16797044220277668,2.0983462501890946,34.38693012535951,153.2434913584262,0.01764233573590726,7.423898675187202,2.6674959787669374
10,3,0.06330659575407553,-0.1306261312185453,-5.782597171514142,-22.88698452573765,7586.107331899603,7737.408835930754,0.13635356765243975,2.2886931188626787,25.21097353813715,151.30150403115078,0.005727436433894447,8.07129029037682,2.3239890123994997
10,4,0.08926431906677625,-0.1105818475305175,-2.776228488712005,-18.5821831526314,7307.5675161816725,7453.613383806706,0.12768559478269145,2.1599722857777968,22.000073811281723,146.04586762503354,0.017103747252173944,4.9362007744898015,3.417890658650321
10,5,0.17961424868014014,-0.10105284128295325,-4.434874648997104,-15.44262615347982,7057.977127169728,7202.2413347496595,0.10368220268577552,2.193670185822705,18.486841174703745,144.26420757993128,0.002629361402822267,6.628544834819809,3.0442150212239247
10,6,0.15455587233462917,-0.07449799612664536,-2.38827958228625,-12.529301188437959,6939.581364525463,7078.641491702717,0.08406624892807331,2.317516681195256,16.1617780265682,139.06012717725426,0.009568252801427951,4.705796263481506,3.6324768381302412
10,7,0.12646767764351577,-0.07981087997615308,-2.5095817923623933,-11.672940292914152,6704.262291941663,6841.240217780438,0.08377019067010662,2.1807042005252866,15.10302301268547,136.97792583877518,0.003959310693953544,4.69028599288768,3.430082719771318
10,8,0.1725415927625502,-0.014146328486686194,-1.873450537896277,-6.353221160290707,6600.713901332528,6730.229809478335,0.024310128189639423,2.3996678219610956,10.659953399053938,129.51590814580703,0.010163799702953228,4.2731183598573725,4.306732238763231
10,9,0.13921735228565452,-0.02692057695560967,-2.3320831028377222,-6.821443869000056,6436.84505981996,6566.773053754853,0.026092030146484462,2.1888120255215826,10.49422220692528,129.92799393489355,-0.0008285468091252057,4.520895128359305,3.6727783379252226
10,10,0.223002202316987,-0.054304539569428205,-1.6991850014748624,-6.937901459644722,6270.76597875924,6390.099645821412,0.06453438330231837,2.066948182544111,11.90844212761869,119.33366706217211,0.01022984373289016,3.7661331840189733,4.970540667973967
15,2,0.03609527073197258,-0.11638042979487997,-4.030802808587595,-23.198438769300786,7962.801439897363,8115.187896992475,0.1353824522531662,2.3862757879412464,26.742430240626163,152.38645709511212,0.019002022458286222,6.417078596528841,3.5439914713253753
15,3,0.12903771294425173,-0.0859575684779332,-2.8940353568702117,-15.138535687298848,7589.276513929803,7737.408835930754,0.10572182329177994,2.6251202999752974,19.146547235820446,148.13232200095217,0.01976425481384674,5.519155656845509,4.008011548521598
15,4,0.16616994770396817,-0.07738278731396749,-2.2610314620057275,-11.757329788713943,7310.392722769873,7453.613383806706,0.09506590217501784,2.532952720120066,16.24049018602594,143.22066103683255,0.017683114861050352,4.793984182125794,4.483160397311998
15,5,0.2686593462643054,-0.05486151039804958,-1.5018070653210036,-9.040868195570976,7064.371961818538,7202.2413347496595,0.07851536319600516,2.4960621494686146,13.976002406010307,137.86937293112183,0.02365385279795558,3.997869214789618,4.935134210439331
15,6,0.16617810568478725,-0.05615726970119904,-1.6187009633135827,-8.452253715931421,6940.619370406852,7078.641491702717,0.06930550124027618,2.5721831571342073,12.336673419866075,138.02212129586482,0.013148231539077137,4.19088412044779,3.884419703934654
15,7,0.22477028606704413,-0.044959837594761236,-1.6632812334421296,-6.891002446448849,6708.370458281123,6841.240217780438,0.06132801977637604,2.5073033197611463,11.194100913445755,132.86975949931494,0.0163681821816148,4.170584553203276,4.303098466996906
15,8,0.1937685990882267,-0.01983872856347868,-2.3576996362956266,-4.9535567901822635,6596.7721122128405,6730.229809478335,0.026047250737484172,2.576759074723167,8.507889706579714,133.45769726549383,0.006208522174005492,4.934458711018793,3.554332916397451
15,9,0.19782477863377593,-0.004027529267580498,-1.0356279906274435,-3.407478331112359,6443.474070697193,6566.773053754853,0.0259203060815283,2.380938967257501,8.264946388780835,123.29898305765957,0.0218927768139478,3.4165669578849447,4.857468057668476
15,10,0.2012052524668955,-0.022019955176812815,-1.0872927028323578,-4.09004469331977,6270.2451119683965,6390.099645821412,0.050010090339763995,2.34618949857644,8.96786714426881,119.85453385301592,0.02799013516295118,3.433482201408798,4.87782245094904
20,2,0.007075871483458098,-0.1079370714337391,-5.369961910492359,-20.46714141116126,7961.652066523917,8115.187896992475,0.1175559122342473,2.5868755892850017,22.814243472607277,153.5358304685578,0.00961884080050821,7.956837499777361,2.3471020614460167
20,3,0.12064772679592815,-0.07065144322884298,-2.3595471531364063,-12.123037452233511,7589.83654631835,7737.408835930754,0.0920801619727853,2.8119926384064855,16.42752439499638,147.5722896124045,0.02142871874394232,5.171539791542892,4.304486942762868
20,4,0.14904473735629098,-0.07440231736324085,-2.5443346292516353,-10.670476253628598,7307.013592542771,7453.613383806706,0.08298095610431898,2.728758414585094,13.876397525789175,146.59979126393495,0.008578638741078127,5.273093043836729,3.205921272160577
20,5,0.26150549538102846,-0.05547122400709087,-2.1303885033148413,-7.9492176501001275,7061.094108888733,7202.2413347496595,0.06689346225114393,2.7017946081900943,11.888408561074028,141.14722586092608,0.01142223824405306,4.832183111504936,3.939190910973901
20,6,0.2233793923490098,-0.04181437972492863,-1.2659756404711007,-6.071391994990679,6943.138786068674,7078.641491702717,0.06100849417168874,2.748668362805525,10.581963004356053,135.50270563404283,0.019194114446760113,4.014644003276626,4.510571009365374
20,7,0.2634130076006546,-0.03146156428251598,-0.7622449732002639,-4.848738408816137,6710.658836325155,6841.240217780438,0.05541020793667714,2.676571150876172,9.659119218501871,130.5813814552832,0.02394864365416116,3.438816124076436,4.810380809685734
20,8,0.13987987413420855,-0.012757774224294098,-0.9845924953137386,-3.2466079377764014,6599.813879075374,6730.229809478335,0.02263264948472338,2.7187293524497065,7.37413755576382,130.41593040296127,0.009874875260429282,3.703321847763445,4.127529617987419
20,9,0.22412635437365883,0.0020412307382373165,-0.6941990390571333,-2.6238597793786758,6441.79835614631,6566.773053754853,0.023144903314793963,2.5308063240319894,7.167250049285399,124.97469760854315,0.02518613405303128,3.2250053630891227,4.543390269906723
20,10,0.22646486259320658,-0.018335221195124575,-0.6201763462289667,-3.0051602803000232,6269.251127744787,6390.099645821412,0.04634799061706108,2.4848021383294587,7.707090462809097,120.8485180766259,0.028012769421936506,3.1049784845584254,4.701930182509074
27,2,0.025979874022794117,-0.0927888569108277,-5.045352308952193,-17.392995242779257,7961.789641665064,8115.187896992475,0.10369352875555962,2.7729132434002692,19.88742818904868,153.39825532741128,0.010904671844731924,7.818265552352462,2.4944329462694252
27,3,0.12461221474637293,-0.06604200336624227,-2.7615470234190456,-10.817686879146144,7588.136804769973,7737.408835930754,0.08006397676565818,3.032220511619787,14.205693545569746,149.27203116078059,0.014021973399415905,5.793767535038833,3.3880066664236024
27,4,0.14514239769277787,-0.05814748867323494,-2.0046248700478264,-7.669864903858432,7309.8429682398755,7453.613383806706,0.07120397277639845,2.9554282653925767,11.93848518085779,143.77041556683056,0.013056484103163516,4.960053135440403,4.268620276999357
27,5,0.25213931358371877,-0.04779135022535817,-1.7413329752107627,-6.325707311021521,7060.926030092471,7202.2413347496595,0.056340121646095476,2.9080715335946756,10.217205758727337,141.31530465718885,0.008548771420737301,4.649404508805438,3.891498447705816
27,6,0.1512987532392044,-0.03923559823293385,-1.4747826527522174,-5.7197200584431105,6938.634869928105,7078.641491702717,0.052008476072246554,2.9401323741337104,9.121627654321522,140.0066217746117,0.012772877839312703,4.414915026885928,3.4019075958784106
27,7,0.2893051417551019,-0.027781666893502668,-1.0160824902641243,-3.713436294665672,6709.722704863443,6841.240217780438,0.04682786353663768,2.884717776222065,8.314152921720826,131.51751291699478,0.019046196643135015,3.9008002664861894,4.600716627055154
27,8,0.17055442076394764,-0.0030456209457691667,-0.989476874108643,-2.0300544059819554,6601.491338541518,6730.229809478335,0.019845738674309,2.84232951680125,6.488019907516207,128.73847093681607,0.016800117728539832,3.831806390909893,4.457965501534251
27,9,0.2312484316870138,0.01484603936286166,-0.4722469817049322,-1.0591186367338379,6445.39098925696,6566.773053754853,0.020412996442686005,2.659128429915501,6.281913425331276,121.38206449789355,0.035259035805547664,3.131375411620433,5.222794788597438
27,10,0.2536744524224437,-0.011807568550654474,-0.41452764647798857,-1.882567883509152,6269.818552411802,6390.099645821412,0.040866726709766536,2.6394333397666796,6.6841628305428005,120.28109340961028,0.029059158159112062,3.053960986244668,4.8015949470336485
